Sales+Ops Demand Supply — Append1 (auto-computed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Group,Item Code,Product Class,Original Forecast,Ops+Sales-Reviewed Forecast Committed,Ops Adjustment (vs Forecast),Actual Sales Demand,"Additional Demand (Punched, Not Committed)",Forecast Accuracy %,Opening Inventory,Actual Production,Stock Adjustment (Added),Stock Adjustment (Deducted),Total Available Inventory,Type (MTS/MTO),Actual Dispatch,Dispatch %,Closing Inventory,Green Level,Free Inventory (Above Green Level),Uncovered Shortfall,Dispatch Gap (Shippable from Stock),Shortfall on Additional Demand (Excluded from Ops),Demand Reduction Adjustment (Sales Pullback),Production-Driven Shortfall,Production Surplus,Excess Opening Stock (Above Demand+Safety),Excess Dispatched,Sales Insight Tag,Sales Narrative,Operations Insight Tag,Operations Narrative,Ops Capacity Gap Narrative,Surplus Production (₹),Excess Opening Stock Value (₹),Build Required,Production Counted,Production-Driven Shortfall (₹),Dispatch Gap (Shippable from Stock) (₹),Shortfall on Additional Demand (₹),Demand Reduction Adjustment (₹),Excess Dispatch Value (₹),Excess Dispatched from Op Stock,Excess Dispatch from Surplus Production,Excess Dispatch from Op Stock Value (₹),Excess Dispatch from Surplus Production Value (₹)
Coupling,CW M01 B01 300 (JNIL),Regular,,,,,,,,208.0,208.0,208.0,208.0,MTO,208.0,,0.0,,,,,,,,208.0,,208.0,Forecast Bullseye,Dispatch 208 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 208 units.,Over-Production,Produced 208 units against committed 0 units. Red flag — produced 208 units more than ordered. Investigate planning breakdown.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,208.0,,
Coupling,CW M01 B01 50 (JNIL),Regular,,,,,,,,4000.0,5000.0,5000.0,4000.0,MTS,5000.0,,-1000.0,12300.0,,,,,,,,,5000.0,Forecast Bullseye,"Dispatch 5,000 units (no committed demand). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 5,000 units.",Stock-Out Risk,"Produced 4,000 units against committed 0 units. Closing -1,000 units. Green level 12,300 (-0.1x cover) — ⚠ Safety breach — replenish urgently.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,12300.0,4000.0,,,,,,,5000.0,,
Coupling,CW M01 B01 75 (JNIL),Regular,,,,,,,,17400.0,10000.0,10000.0,17400.0,MTS,10000.0,,7400.0,11725.0,,,,,,,5675.0,,10000.0,Forecast Bullseye,"Dispatch 10,000 units (no committed demand). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 10,000 units.",Below Safety | Production Surplus,"Produced 17,400 units against committed 0 units. Closing 7,400 units. Green level 11,725 (0.6x cover) — ⚠ Safety breach — replenish urgently.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,11725.0,11725.0,,,,,,,10000.0,,
Scrap,E-waste liquid,Regular,,,,,,,,,,,,TBC,1.0,,-1.0,,,,,,,,,,1.0,Forecast Bullseye,Dispatch 1 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 1 units.,Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,1.0,,
Scrap,E-waste solid,Regular,,,,,,,,,,,,TBC,2.0,,-2.0,,,,,,,,,,2.0,Forecast Bullseye,Dispatch 2 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 2 units.,Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,2.0,,
FD SS304-2,FD M01 B11 J3 MH,Regular,,,,,,,4608.0,,,,4608.0,MTO,,,4608.0,,4608.0,,,,,,,4608.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Unsold MTO Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,26687.46,,,,,,,,,,,
12mm 2Way Serrated,FD M01 B11 J3 MH1,Regular,2800.0,2800.0,,2800.0,,100%,4739.0,,,,4739.0,MTS,1500.0,53.6%,3239.0,3033.33,205.67,1300.0,1300.0,,,,,,,Short Delivery | Forecast Bullseye,"Dispatch 54% of committed (1,500 vs 2,800). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 1,300 units.",Healthy Stock,"Produced 0 units against committed 2,800 units. Production and inventory in healthy state.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,1094.33,,,20618.0,,,,,,,
12mm 2Way Serrated,FD M01 B11 J3 SBS,Regular,,,,,,,,32850.0,,,32850.0,MTO,,,32850.0,,32850.0,,,,,,32850.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,"Produced 32,850 units against committed 0 units. Red flag — produced 32,850 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
,FD M01 B15 J00 OEM,Regular,,,,,,,24.0,,,,24.0,TBC,,,24.0,,24.0,,,,,,,24.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,105.87,,,,,,,,,,,
,FD M01 B15 J110A MH,Regular,,,,,,,2.0,,,,2.0,TBC,,,2.0,,2.0,,,,,,,2.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,17.03,,,,,,,,,,,
