Sales+Ops Demand Supply — Append1 (auto-computed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Group,Item Code,Product Class,Original Forecast,Ops+Sales-Reviewed Forecast Committed,Ops Adjustment (vs Forecast),Actual Sales Demand,"Additional Demand (Punched, Not Committed)",Forecast Accuracy %,Opening Inventory,Actual Production,Stock Adjustment (Added),Stock Adjustment (Deducted),Total Available Inventory,Type (MTS/MTO),Actual Dispatch,Dispatch %,Closing Inventory,Green Level,Free Inventory (Above Green Level),Uncovered Shortfall,Dispatch Gap (Shippable from Stock),Shortfall on Additional Demand (Excluded from Ops),Demand Reduction Adjustment (Sales Pullback),Production-Driven Shortfall,Production Surplus,Excess Opening Stock (Above Demand+Safety),Excess Dispatched,Sales Insight Tag,Sales Narrative,Operations Insight Tag,Operations Narrative,Ops Capacity Gap Narrative,Surplus Production (₹),Excess Opening Stock Value (₹),Build Required,Production Counted,Production-Driven Shortfall (₹),Dispatch Gap (Shippable from Stock) (₹),Shortfall on Additional Demand (₹),Demand Reduction Adjustment (₹),Excess Dispatch Value (₹),Excess Dispatched from Op Stock,Excess Dispatch from Surplus Production,Excess Dispatch from Op Stock Value (₹),Excess Dispatch from Surplus Production Value (₹)
12mm 1Way Spring Insert,SFS M09 B11 J2X AL,Regular,4200.0,4200.0,,4200.0,,100%,55545.0,,,,55545.0,MTS,5000.0,119.0%,50545.0,7500.0,43045.0,,,,,,,43845.0,800.0,Over-Delivered | Forecast Bullseye,"Dispatch 119% of committed (5,000 vs 4,200). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 800 units.",Healthy Stock,"Produced 0 units against committed 4,200 units. Production and inventory in healthy state.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,383353.06,,,,,,,21856.0,800.0,,21856.0,
,SFS M09 B11 J3 SA,Regular,,,,,,,100.0,,,,100.0,TBC,,,100.0,,100.0,,,,,,,100.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,2500.0,,,,,,,,,,,
SFS SS430-2,SFS M09 B11 J3 SRB,Regular,,,,,,,222.0,,,,222.0,MTO,,,222.0,,222.0,,,,,,,222.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Unsold MTO Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,2323.48,,,,,,,,,,,
12mm 2Way Spring Insert,SFS M09 B11 J32A LSM,Regular,,,,,,,,3250.0,3000.0,3000.0,3250.0,MTO,,,3250.0,,3250.0,,,,,,3250.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,"Produced 3,250 units against committed 0 units. Red flag — produced 3,250 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
12mm 1Way Spring Insert,SFS M09 B11 J3X IFE,Regular,,,,,,,,20100.0,20000.0,20000.0,20100.0,MTO,,,20100.0,,20100.0,,,,,,20100.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,"Produced 20,100 units against committed 0 units. Red flag — produced 20,100 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
12mm 1Way Spring Insert,SFS M09 B11 J3X LSM,Regular,,,,,,,,3850.0,3500.0,3500.0,3850.0,MTO,,,3850.0,,3850.0,,,,,,3850.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,"Produced 3,850 units against committed 0 units. Red flag — produced 3,850 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
,SFS M09 B11 J3X PS,Regular,,,,,,,450.0,,,,450.0,TBC,,,450.0,,450.0,,,,,,,450.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,1232.91,,,,,,,,,,,
SFS SS430-3,SFS M09 B11 J3X SRB,Regular,,,,,,,100.0,,,,100.0,MTO,,,100.0,,100.0,,,,,,,100.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Unsold MTO Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,1163.11,,,,,,,,,,,
12mm 1Way Spring Insert,SFS M09 B11 J45A AL,Regular,12000.0,12000.0,,12000.0,,100%,31247.0,,,,31247.0,MTO,24000.0,200.0%,7247.0,,7247.0,,,,,,,19247.0,12000.0,Over-Delivered | Forecast Bullseye,"Dispatch 200% of committed (24,000 vs 12,000). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 12,000 units.",Unsold MTO Stock,"Produced 0 units against committed 12,000 units.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,133954.89,,,,,,,327840.0,12000.0,,327840.0,
SFS SS430-2,SFS M09 B11 J45A SRB,Regular,,,,,,,100.0,,,,100.0,MTO,,,100.0,,100.0,,,,,,,100.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Unsold MTO Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,742.8,,,,,,,,,,,
12mm 2Way Spring Insert,SFS M09 B11 J65A LSM,Regular,,,,,,,,7550.0,7500.0,7500.0,7550.0,MTS,,,7550.0,3000.0,4550.0,,,,,,4550.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Production Surplus,"Produced 7,550 units against committed 0 units.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,3000.0,3000.0,,,,,,,,,
12mm 1Way Spring Insert,SFS M09 B11 J75A AL,Regular,24400.0,24400.0,,24400.0,,100%,26541.0,13750.0,,,40291.0,MTS,25000.0,102.5%,15291.0,25333.33,,,,,,,,,600.0,On Target | Forecast Bullseye,"Dispatch 102% of committed (25,000 vs 24,400). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 600 units.",Below Safety,"Produced 13,750 units against committed 24,400 units. Closing 15,291 units. Green level 25,333 (0.6x cover) — ⚠ Safety breach — replenish urgently.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,23192.33,13750.0,,,,,16392.0,600.0,,16392.0,
V Screw Clamp,SP CPS V-Clamp 4001271,Regular,35200.0,35200.0,,35200.0,,100%,32925.0,,,,32925.0,MTS,,0.0%,32925.0,19800.0,13125.0,35200.0,32925.0,,,2275.0,,,,Short Delivery | Forecast Bullseye,"Dispatch 0% of committed (0 vs 35,200). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 35,200 units.",Production Shortfall,"Produced 0 units against committed 35,200 units. Shortfall of 2,275 units — expedite production or procure.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,22075.0,,,,,,,,,,
,Sample T-Bolt 14mm,Regular,,,,,,,14.0,,,,14.0,TBC,,,14.0,,14.0,,,,,,,14.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,3635.1,,,,,,,,,,,
Scrap,Scrap SS,Regular,,,,,,,,,37616.0,15027.0,22589.0,TBC,32155.0,,-9566.0,,,,,,,,,,32155.0,Forecast Bullseye,"Dispatch 32,155 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 32,155 units.",Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,32155.0,,
TB-19mm TL,TL M01 B06 118 GLH,Regular,,,,,,,,2000.0,2000.0,2000.0,2000.0,MTO,,,2000.0,,2000.0,,,,,,2000.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,"Produced 2,000 units against committed 0 units. Red flag — produced 2,000 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
TB-19mm TL,TL M01 B06 180 GLH,Regular,,,,,,,,625.0,600.0,600.0,625.0,MTO,,,625.0,,625.0,,,,,,625.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,Produced 625 units against committed 0 units. Red flag — produced 625 units more than ordered. Investigate planning breakdown.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
TB-19mm TL,TL M01 B06 300 GLH,Regular,,,,,,,,490.0,500.0,500.0,490.0,MTO,,,490.0,,490.0,,,,,,490.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,Produced 490 units against committed 0 units. Red flag — produced 490 units more than ordered. Investigate planning breakdown.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
TB-19mm TL,TL M01 B06 36 GLH,Regular,,,,,,,,2034.0,2100.0,2100.0,2034.0,MTO,,,2034.0,,2034.0,,,,,,2034.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,"Produced 2,034 units against committed 0 units. Red flag — produced 2,034 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
TB-19mm TL,TL M01 B06 44 GLH,Regular,,,,,,,,2200.0,2100.0,2100.0,2200.0,MTO,,,2200.0,,2200.0,,,,,,2200.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,"Produced 2,200 units against committed 0 units. Red flag — produced 2,200 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
TB-19mm TL,TL M01 B06 48 GLH,Regular,,,,,,,,1950.0,2000.0,2000.0,1950.0,MTO,,,1950.0,,1950.0,,,,,,1950.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,"Produced 1,950 units against committed 0 units. Red flag — produced 1,950 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
TB-19mm TL,TL M01 B06 70 GLH,Regular,,,,,,,,2200.0,2000.0,2000.0,2200.0,MTO,,,2200.0,,2200.0,,,,,,2200.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,"Produced 2,200 units against committed 0 units. Red flag — produced 2,200 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
,TL M01 B06 70 WH,Regular,2000.0,2000.0,,2000.0,,100%,,,,,,TBC,,0.0%,0,,,2000.0,,,,2000.0,,,,Short Delivery | Forecast Bullseye,"Dispatch 0% of committed (0 vs 2,000). Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 2,000 units.",Production Shortfall,"Produced 0 units against committed 2,000 units. Shortfall of 2,000 units — expedite production or procure.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,2000.0,,,,,,,,,,
TB-19mm TL,TL M01 B06 80 GLH,Regular,,,,,,,,2000.0,2000.0,2000.0,2000.0,MTO,,,2000.0,,2000.0,,,,,,2000.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,"Produced 2,000 units against committed 0 units. Red flag — produced 2,000 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
TB-19mm TL,TL M01 B06 94 GLH,Regular,,,,,,,,2050.0,2000.0,2000.0,2050.0,MTO,,,2050.0,,2050.0,,,,,,2050.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,"Produced 2,050 units against committed 0 units. Red flag — produced 2,050 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
TB-19mm TL,TL M02 B06 146 TE,Regular,,,,,,,,100.0,100.0,100.0,100.0,MTO,,,100.0,,100.0,,,,,,100.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,Produced 100 units against committed 0 units. Red flag — produced 100 units more than ordered. Investigate planning breakdown.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
TB-19mm TL,TL M02 B06 178 TE,Regular,,,,,,,,100.0,100.0,100.0,100.0,MTO,,,100.0,,100.0,,,,,,100.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,Produced 100 units against committed 0 units. Red flag — produced 100 units more than ordered. Investigate planning breakdown.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
TB-19mm TL,TL M02 B06 54 TE,Regular,,,,,,,,200.0,200.0,200.0,200.0,MTO,,,200.0,,200.0,,,,,,200.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,Produced 200 units against committed 0 units. Red flag — produced 200 units more than ordered. Investigate planning breakdown.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
TB-19mm TL,TL M02 B06 58 TE,Regular,,,,,,,,300.0,300.0,300.0,300.0,MTO,,,300.0,,300.0,,,,,,300.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,Produced 300 units against committed 0 units. Red flag — produced 300 units more than ordered. Investigate planning breakdown.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
,TL M02 B06 98 SI,Regular,,,,,,,122.0,,,,122.0,TBC,,,122.0,,122.0,,,,,,,122.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,122.0,,,,,,,,,,,
TB-14mm,TL M05 B05 38 MM,Regular,400.0,400.0,,400.0,,100%,2505.0,,1900.0,1900.0,2505.0,MTO,1800.0,450.0%,705.0,,705.0,,,,,,,2105.0,1400.0,Over-Delivered | Forecast Bullseye,"Dispatch 450% of committed (1,800 vs 400). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 1,400 units.",Unsold MTO Stock,Produced 0 units against committed 400 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,22943.55,,,,,,,28378.0,1400.0,,28378.0,
TB-14mm,TL M05 B05 48 WIP,Regular,400.0,400.0,,400.0,,100%,255.0,,,,255.0,MTO,100.0,25.0%,155.0,,155.0,300.0,155.0,,,145.0,,,,Short Delivery | Forecast Bullseye,Dispatch 25% of committed (100 vs 400). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 300 units.,Production Shortfall,Produced 0 units against committed 400 units. Shortfall of 145 units — expedite production or procure.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,145.0,,2939.15,3141.85,,,,,,,
TB-14mm,TL M05 B05 56 FG,Regular,8700.0,8700.0,,8700.0,,100%,2053.0,7402.0,,,9455.0,MTS,7150.0,82.2%,2305.0,2850.0,,1550.0,1550.0,,,,,,,Short Delivery | Forecast Bullseye,"Dispatch 82% of committed (7,150 vs 8,700). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 1,550 units.",Below Safety,"Produced 7,402 units against committed 8,700 units. Closing 2,305 units. Green level 2,850 (0.8x cover) — ⚠ Safety breach — replenish urgently.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,9497.0,7402.0,,31418.5,,,,,,,
TB-19mm TL,TL M05 B05 64 FL,Regular,8600.0,8600.0,,8600.0,,100%,4993.0,9065.0,,,14058.0,MTS,8400.0,97.7%,5658.0,2159.0,3499.0,200.0,200.0,,,,3299.0,,,On Target | Forecast Bullseye,"Dispatch 98% of committed (8,400 vs 8,600). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 200 units.",Production Surplus,"Produced 9,065 units against committed 8,600 units.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,41235.39,,5766.0,5766.0,,4832.0,,,,,,,
TB 14 60,TL M05 B05 68 MM,Regular,800.0,800.0,,800.0,,100%,584.0,,,,584.0,MTO,,0.0%,584.0,,584.0,800.0,584.0,,,216.0,,,,Short Delivery | Forecast Bullseye,Dispatch 0% of committed (0 vs 800). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 800 units.,Production Shortfall,Produced 0 units against committed 800 units. Shortfall of 216 units — expedite production or procure.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,216.0,,,,,,,,,,
TB-14mm,TL M05 B05 72 FG,Regular,18900.0,18900.0,,18900.0,,100%,7439.0,14750.0,,,22189.0,MTS,22800.0,120.6%,-611.0,18000.0,,,,,,,,,3900.0,Over-Delivered | Forecast Bullseye,"Dispatch 121% of committed (22,800 vs 18,900). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 3,900 units.",Stock-Out Risk,"Produced 14,750 units against committed 18,900 units. Closing -611 units. Green level 18,000 (-0.0x cover) — ⚠ Safety breach — replenish urgently.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,29461.0,14750.0,,,,,79053.0,,3900.0,,79053.0
TB-19mm TL,TL M05 B05 82 FL,Regular,2000.0,2000.0,,2000.0,,100%,3.0,2542.0,,,2545.0,MTO,1575.0,78.8%,970.0,,970.0,425.0,425.0,,,,545.0,,,Short Delivery | Forecast Bullseye,"Dispatch 79% of committed (1,575 vs 2,000). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 425 units.",Over-Production,"Produced 2,542 units against committed 2,000 units. Red flag — produced 545 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,6929.56,,1997.0,1997.0,,10268.0,,,,,,,
TB 74,TL M05 B06 114,Regular,,,,,,,198.0,,,,198.0,MTO,,,198.0,,198.0,,,,,,,198.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Unsold MTO Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,6003.36,,,,,,,,,,,
TB 74,TL M05 B06 142 CM,Regular,,,,,,,1505.0,,,,1505.0,MTO,,,1505.0,,1505.0,,,,,,,1505.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Unsold MTO Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,37866.07,,,,,,,,,,,
TB 74,TL M05 B06 144 GC,Regular,,,,,,,113.0,,,,113.0,MTO,,,113.0,,113.0,,,,,,,113.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Unsold MTO Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,2582.01,,,,,,,,,,,
TB-19mm TL,TL M05 B06 36 ML,Regular,19000.0,19000.0,,19000.0,,100%,15886.0,12500.0,,,28386.0,MTS,7800.0,41.1%,20586.0,21120.0,,11200.0,11200.0,,,,,,,Short Delivery | Forecast Bullseye,"Dispatch 41% of committed (7,800 vs 19,000). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 11,200 units.",Below Safety,"Produced 12,500 units against committed 19,000 units. Closing 20,586 units. Green level 21,120 (1.0x cover) — ⚠ Safety breach — replenish urgently.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,24234.0,12500.0,,270592.0,,,,,,,
TB-19mm TL,TL M05 B06 54 ML,Regular,6600.0,6600.0,,6600.0,,100%,3.0,,,,3.0,MTS,6000.0,90.9%,-5997.0,5640.0,,600.0,,,,600.0,,,,On Target | Forecast Bullseye,"Dispatch 91% of committed (6,000 vs 6,600). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 600 units.",Production Shortfall | Stock-Out Risk,"Produced 0 units against committed 6,600 units. Shortfall of 6,597 units — expedite production or procure. Closing -5,997 units. Green level 5,640 (-1.1x cover) — ⚠ Safety breach — replenish urgently.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,12237.0,,14496.0,,,,,,,,
TB 74,TL M05 B06 82 CM,Regular,400.0,400.0,,400.0,,100%,3605.0,,,,3605.0,MTO,,0.0%,3605.0,,3605.0,400.0,400.0,,,,,3205.0,,Short Delivery | Forecast Bullseye,Dispatch 0% of committed (0 vs 400). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 400 units.,Healthy Stock,Produced 0 units against committed 400 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,59996.19,,,,,,,,,,,
TB 74,TL M05 B06 90 CM,Regular,,,,,,,1034.0,,,,1034.0,MTO,,,1034.0,,1034.0,,,,,,,1034.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Unsold MTO Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,20990.86,,,,,,,,,,,
SLTB and HDSLTB,TS M02 B06 104 CM,Regular,200.0,200.0,,200.0,,100%,5.0,,,,5.0,MTO,,0.0%,5.0,,5.0,200.0,5.0,,,195.0,,,,Short Delivery | Forecast Bullseye,Dispatch 0% of committed (0 vs 200). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 200 units.,Production Shortfall,Produced 0 units against committed 200 units. Shortfall of 195 units — expedite production or procure.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,195.0,,7507.5,192.5,,,,,,,
SLTB and HDSLTB,TS M02 B08 102 KSI,Regular,,,,,,,,2.0,,,2.0,MTO,,,2.0,,2.0,,,,,,2.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,Produced 2 units against committed 0 units. Red flag — produced 2 units more than ordered. Investigate planning breakdown.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
SLTB and HDSLTB,TS M02 B08 102 MRY1,Regular,,,,,,,,454.0,500.0,500.0,454.0,MTO,,,454.0,,454.0,,,,,,454.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,Produced 454 units against committed 0 units. Red flag — produced 454 units more than ordered. Investigate planning breakdown.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
SLTB and HDSLTB,TS M02 B08 104 CAT,Regular,27400.0,27400.0,,27400.0,,100%,9854.0,8400.0,,,18254.0,MTS,17280.0,63.1%,974.0,15063.33,,10120.0,974.0,,,9146.0,,,,Short Delivery | Forecast Bullseye,"Dispatch 63% of committed (17,280 vs 27,400). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 10,120 units.",Production Shortfall | Stock-Out Risk,"Produced 8,400 units against committed 27,400 units. Shortfall of 9,146 units — expedite production or procure. Closing 974 units. Green level 15,063 (0.1x cover) — ⚠ Safety breach — replenish urgently.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,32609.33,8400.0,352121.0,37499.0,,,,,,,
SLTB and HDSLTB,TS M02 B08 110 CAT,Regular,,,,,,,50.0,20.0,,,70.0,MTO,10.0,,60.0,,60.0,,,,,,20.0,50.0,10.0,Forecast Bullseye,Dispatch 10 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 10 units.,Over-Production,Produced 20 units against committed 0 units. Red flag — produced 20 units more than ordered. Investigate planning breakdown.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,907.65,2269.12,,,,,,,385.0,10.0,,385.0,
SLTB and HDSLTB,TS M02 B08 110 MRY1,Regular,,,,,,,,502.0,500.0,500.0,502.0,MTO,,,502.0,,502.0,,,,,,502.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Over-Production,Produced 502 units against committed 0 units. Red flag — produced 502 units more than ordered. Investigate planning breakdown.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
SLTB 92,TS M02 B08 110 TC,Regular,,,,,,,5.0,,,,5.0,MTO,,,5.0,,5.0,,,,,,,5.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Unsold MTO Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,155.0,,,,,,,,,,,
SLTB 92,TS M02 B08 114 CAT,Regular,,,,,,,374.0,,,,374.0,MTO,,,374.0,,374.0,,,,,,,374.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Unsold MTO Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,17840.7,,,,,,,,,,,
